2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 0 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 27 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Dantooine | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 1 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 21 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Dathomir | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 2 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 24 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Endor | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 3 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 29 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Lok | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 4 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 30 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Naboo | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
